Convention type,Pattern,Example,Frequency,Scope
imports,Static imports from org.exist.xquery.functions.fn.transform.Options,org.exist.xquery.functions.fn.transform.Options.Option.*,,project-wide
imports,Static imports from org.exist.xquery.functions.util,org.exist.xquery.functions.util.UtilModule.functionSignature,,project-wide
imports,Static imports from org.exist.xquery.functions.inspect,org.exist.xquery.functions.inspect.InspectionModule.functionSignature,,project-wide
imports,Static imports from org.exist.xquery.functions.array,org.exist.xquery.functions.array.ArrayModule.functionSignature,,project-wide
imports,Static imports from com.ibm.icu.text,com.ibm.icu.text.UnicodeMatcher.U_MATCH,,project-wide
imports,Static imports from org.exist.xquery.functions.xmldb,org.exist.xquery.functions.xmldb.XMLDBModule.functionSignatures,,project-wide
imports,Static imports from org.exist.xquery.functions.system,org.exist.xquery.functions.system.SystemModule.functionSignature,,project-wide
imports,Static imports from org.exist.xquery.Predicate,org.exist.xquery.Predicate.ExecutionMode.*,,project-wide
naming,Controller suffix for classes,IndexController,,project-wide
imports,Static imports from org.exist.http,org.exist.http.RESTServerParameter.*,,project-wide
naming,handle* method naming pattern,handleEval,,project-wide
imports,Static imports from org.exist.storage.blob,org.exist.storage.blob.BlobStoreImpl.BLOB_STORE_HEADER_LEN,,project-wide
imports,Static imports from org.exist.storage.blob.BlobStoreImpl,org.exist.storage.blob.BlobStoreImpl.BlobReference.*,,project-wide
imports,Static imports from com.evolvedbinary.j8fu.fsm,com.evolvedbinary.j8fu.fsm.TransitionTable.transitionTable,,project-wide
naming,I prefix for interfaces,IRawNodeIterator,,project-wide
imports,Static imports from org.exist.storage.btree.Paged,org.exist.storage.btree.Paged.Page.NO_PAGE,,project-wide
imports,Static imports from org.exist.storage.lock.LockTable,org.exist.storage.lock.LockTable.LockEventType.*,,project-wide
naming,Repository suffix for classes,ExistRepository,,project-wide
imports,Static imports from org.exist.config.annotation,org.exist.config.annotation.ConfigurationFieldSettings.OCTAL_STRING_KEY,,project-wide
imports,Static imports from org.exist.repo,org.exist.repo.AutoDeploymentTrigger.AUTODEPLOY_PROPERTY,,project-wide
imports,Static imports from org.exist.test,org.exist.test.DiffMatcher.hasIdenticalXml,,project-wide
imports,Static imports from org.hamcrest,org.hamcrest.MatcherAssert.assertThat,,project-wide
imports,Static imports from org.exist.dom.persistent,org.exist.dom.persistent.DocumentImpl.XML_FILE,,project-wide
imports,Static imports from java.util,java.util.Objects.requireNonNull,,project-wide
imports,Static imports from org.exist.storage.lock.Lock,org.exist.storage.lock.Lock.LockMode.READ_LOCK,,project-wide
imports,Static imports from org.quartz,org.quartz.CronScheduleBuilder.cronSchedule,,project-wide
imports,Static imports from org.quartz.impl,org.quartz.impl.StdSchedulerFactory.*,,project-wide
imports,Static imports from org.exist.launcher,org.exist.launcher.ConfigurationUtility.LAUNCHER_PROPERTY_MAX_MEM,,project-wide
naming,Tests suffix for classes,UtilTests,,project-wide
imports,Static imports from org.assertj.core.api,org.assertj.core.api.Assertions.*,,project-wide
imports,Static imports from org.easymock,org.easymock.EasyMock.*,,project-wide
