Source path,Line number,Class name,Method name,Method signature,Language,Embedded in,Table,Operations,Columns,Dynamic,Query
extensions/modules/sql/src/test/java/org/exist/xquery/modules/sql/ExecuteFunctionTest.java,63,org.exist.xquery.modules.sql.ExecuteFunctionTest,testStringEncoding,"org.exist.xquery.modules.sql.ExecuteFunctionTest{name=testStringEncoding,return=void,parameters=[]}",java,literal,BLA,SELECT,NAME,false,SELECT NAME FROM BLA
extensions/modules/sql/src/test/java/org/exist/xquery/modules/sql/ExecuteFunctionTest.java,392,org.exist.xquery.modules.sql.ExecuteFunctionTest,testEncodingInErrorMessage,"org.exist.xquery.modules.sql.ExecuteFunctionTest{name=testEncodingInErrorMessage,return=void,parameters=[]}",java,literal,BLA,SELECT,,false,SELECT '<NAME>' FROM BLA
extensions/modules/sql/src/test/java/org/exist/xquery/modules/sql/ExecuteFunctionTest.java,464,org.exist.xquery.modules.sql.ExecuteFunctionTest,testSQLXMLFreeCalled,"org.exist.xquery.modules.sql.ExecuteFunctionTest{name=testSQLXMLFreeCalled,return=void,parameters=[]}",java,literal,BLA,SELECT,XML_COL,false,SELECT XML_COL FROM BLA
