Source path,Class name,Method name,Smell type,Severity,Evidence
extensions/modules/image/src/main/java/org/exist/xquery/modules/image/ScaleFunction.java,org.exist.xquery.modules.image.ScaleFunction,eval,FEATURE_ENVY,CRITICAL,"foreign accesses=50, own accesses=18"
extensions/modules/image/src/main/java/org/exist/xquery/modules/image/CropFunction.java,org.exist.xquery.modules.image.CropFunction,eval,FEATURE_ENVY,CRITICAL,"foreign accesses=48, own accesses=7"
extensions/modules/image/src/main/java/org/exist/xquery/modules/image/ImageModule.java,org.exist.xquery.modules.image.ImageModule,createThumb,FEATURE_ENVY,HIGH,"foreign accesses=16, own accesses=0"
extensions/modules/image/src/main/java/org/exist/xquery/modules/image/ImageModule.java,org.exist.xquery.modules.image.ImageModule,prepare,FEATURE_ENVY,LOW,"foreign accesses=5, own accesses=1"
extensions/modules/image/src/main/java/org/exist/xquery/modules/image/GetWidthFunction.java,org.exist.xquery.modules.image.GetWidthFunction,eval,FEATURE_ENVY,HIGH,"foreign accesses=17, own accesses=4"
extensions/modules/jndi/src/main/java/org/exist/xquery/modules/jndi/CreateFunction.java,org.exist.xquery.modules.jndi.CreateFunction,eval,FEATURE_ENVY,HIGH,"foreign accesses=15, own accesses=3"
extensions/modules/jndi/src/main/java/org/exist/xquery/modules/jndi/JNDIModule.java,org.exist.xquery.modules.jndi.JNDIModule,parseAttributes,FEATURE_ENVY,HIGH,"foreign accesses=20, own accesses=1"
extensions/modules/jndi/src/main/java/org/exist/xquery/modules/jndi/SearchFunction.java,org.exist.xquery.modules.jndi.SearchFunction,eval,FEATURE_ENVY,HIGH,"foreign accesses=22, own accesses=5"
extensions/modules/jndi/src/main/java/org/exist/xquery/modules/jndi/SearchFunction.java,org.exist.xquery.modules.jndi.SearchFunction,renderSearchResultsAsDSML,FEATURE_ENVY,CRITICAL,"foreign accesses=49, own accesses=14"
extensions/modules/jndi/src/main/java/org/exist/xquery/modules/jndi/RenameFunction.java,org.exist.xquery.modules.jndi.RenameFunction,eval,FEATURE_ENVY,MEDIUM,"foreign accesses=14, own accesses=3"
extensions/modules/jndi/src/main/java/org/exist/xquery/modules/jndi/ModifyFunction.java,org.exist.xquery.modules.jndi.ModifyFunction,eval,FEATURE_ENVY,MEDIUM,"foreign accesses=14, own accesses=4"
extensions/modules/jndi/src/main/java/org/exist/xquery/modules/jndi/ModifyFunction.java,org.exist.xquery.modules.jndi.ModifyFunction,parseAttributes,FEATURE_ENVY,CRITICAL,"foreign accesses=33, own accesses=3"
extensions/modules/jndi/src/main/java/org/exist/xquery/modules/jndi/DeleteFunction.java,org.exist.xquery.modules.jndi.DeleteFunction,eval,FEATURE_ENVY,MEDIUM,"foreign accesses=12, own accesses=3"
extensions/modules/jndi/src/main/java/org/exist/xquery/modules/jndi/CloseContextFunction.java,org.exist.xquery.modules.jndi.CloseContextFunction,eval,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=0"
extensions/modules/jndi/src/main/java/org/exist/xquery/modules/jndi/GetDirContextFunction.java,org.exist.xquery.modules.jndi.GetDirContextFunction,eval,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=3"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MailFolderFunctions.java,org.exist.xquery.modules.mail.MailFolderFunctions,closeMailFolder,FEATURE_ENVY,MEDIUM,"foreign accesses=12, own accesses=3"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MailFolderFunctions.java,org.exist.xquery.modules.mail.MailFolderFunctions,getMailFolder,FEATURE_ENVY,HIGH,"foreign accesses=15, own accesses=4"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/SendEmailFunction.java,org.exist.xquery.modules.mail.SendEmailFunction,,GOD_CLASS,HIGH,"WMC=177, TCC=0.02, ATFD=85"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/SendEmailFunction.java,org.exist.xquery.modules.mail.SendEmailFunction,deprecatedSendEmail,FEATURE_ENVY,MEDIUM,"foreign accesses=12, own accesses=5"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/SendEmailFunction.java,org.exist.xquery.modules.mail.SendEmailFunction,getDateRFC822,FEATURE_ENVY,CRITICAL,"foreign accesses=73, own accesses=0"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/SendEmailFunction.java,org.exist.xquery.modules.mail.SendEmailFunction,parseMailElement,FEATURE_ENVY,CRITICAL,"foreign accesses=51, own accesses=1"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/SendEmailFunction.java,org.exist.xquery.modules.mail.SendEmailFunction,parseMessageElement,FEATURE_ENVY,CRITICAL,"foreign accesses=97, own accesses=2"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/SendEmailFunction.java,org.exist.xquery.modules.mail.SendEmailFunction,sendBySMTP,FEATURE_ENVY,HIGH,"foreign accesses=28, own accesses=7"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/SendEmailFunction.java,org.exist.xquery.modules.mail.SendEmailFunction,sendBySendmail,FEATURE_ENVY,HIGH,"foreign accesses=22, own accesses=4"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/SendEmailFunction.java,org.exist.xquery.modules.mail.SendEmailFunction,sendEmail,FEATURE_ENVY,HIGH,"foreign accesses=20, own accesses=7"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/SendEmailFunction.java,org.exist.xquery.modules.mail.SendEmailFunction,writeMessage,FEATURE_ENVY,CRITICAL,"foreign accesses=108, own accesses=26"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/SendEmailFunction.java,org.exist.xquery.modules.mail.SendEmailFunction,writeSMTPMessage,FEATURE_ENVY,CRITICAL,"foreign accesses=44, own accesses=7"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MessageFunctions.java,org.exist.xquery.modules.mail.MessageFunctions,,GOD_CLASS,HIGH,"WMC=50, TCC=0.00, ATFD=95"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MessageFunctions.java,org.exist.xquery.modules.mail.MessageFunctions,addAddress,FEATURE_ENVY,MEDIUM,"foreign accesses=14, own accesses=0"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MessageFunctions.java,org.exist.xquery.modules.mail.MessageFunctions,addFlag,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=0"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MessageFunctions.java,org.exist.xquery.modules.mail.MessageFunctions,formatDate,FEATURE_ENVY,LOW,"foreign accesses=5, own accesses=1"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MessageFunctions.java,org.exist.xquery.modules.mail.MessageFunctions,getMessages,FEATURE_ENVY,CRITICAL,"foreign accesses=117, own accesses=19"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MessageFunctions.java,org.exist.xquery.modules.mail.MessageFunctions,handleBinaryContent,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=1"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MessageFunctions.java,org.exist.xquery.modules.mail.MessageFunctions,handlePart,FEATURE_ENVY,CRITICAL,"foreign accesses=67, own accesses=10"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MessageFunctions.java,org.exist.xquery.modules.mail.MessageFunctions,mimeParamsToAttributes,FEATURE_ENVY,LOW,"foreign accesses=9, own accesses=0"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MailStoreFunctions.java,org.exist.xquery.modules.mail.MailStoreFunctions,closeMailStore,FEATURE_ENVY,MEDIUM,"foreign accesses=10, own accesses=3"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MailStoreFunctions.java,org.exist.xquery.modules.mail.MailStoreFunctions,getMailStore,FEATURE_ENVY,MEDIUM,"foreign accesses=14, own accesses=4"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MessageListFunctions.java,org.exist.xquery.modules.mail.MessageListFunctions,,GOD_CLASS,HIGH,"WMC=109, TCC=0.00, ATFD=157"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MessageListFunctions.java,org.exist.xquery.modules.mail.MessageListFunctions,closeMessageList,FEATURE_ENVY,LOW,"foreign accesses=7, own accesses=1"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MessageListFunctions.java,org.exist.xquery.modules.mail.MessageListFunctions,formatDate,FEATURE_ENVY,LOW,"foreign accesses=5, own accesses=1"
extensions/modules/mail/src/main/java/org/exist/xquery/modules/mail/MessageListFunctions.java,org.exist.xquery.modules.mail.MessageListFunctions,getMessageListAsXML,FEATURE_ENVY,CRITICAL,"foreign accesses=211, own accesses=5"
