Build tool,Path,Group id,Artifact id,Version,Dependency group id,Dependency artifact id,Dependency version,Direct Dependency,Resolution failure
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.apache.logging.log4j,log4j-jul,2.26.1,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.apache.logging.log4j,log4j-slf4j2-impl,2.26.1,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.exist-db.thirdparty.xerces,xercesImpl,2.12.2,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.codelibs,nekohtml,2.1.3,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.apache.ws.commons.util,ws-commons-util,1.0.2,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,xml-resolver,xml-resolver,1.2,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.xmlresolver,xmlresolver,6.0.23,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.exist-db.thirdparty.org.eclipse.wst.xml,xpath2,1.2.0,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,edu.princeton.cup,java-cup,10k,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,net.sf.saxon,Saxon-HE,12.5,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,com.evolvedbinary.thirdparty.org.apache.xmlrpc,xmlrpc-common,5.0.0,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,com.evolvedbinary.thirdparty.org.apache.xmlrpc,xmlrpc-client,5.0.0,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,com.evolvedbinary.thirdparty.org.apache.xmlrpc,xmlrpc-server,5.0.0,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.aspectj,aspectjrt,1.9.25.1,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-http,12.1.11,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-io,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-security,12.1.11,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-server,12.1.11,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.http2,jetty-http2-server,12.1.11,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.http2,jetty-http2-common,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty.http2,jetty-http2-hpack,12.1.11,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-alpn-server,12.1.11,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-alpn-java-server,12.1.11,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.eclipse.jetty,jetty-util,12.1.11,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.expath.packaging,pkg-java,2.1.1,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,com.fifesoft,rsyntaxtextarea,4.0.1,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.quartz-scheduler,quartz,2.5.2,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,net.sf.xmldb-org,xmldb-api,2.1.0,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,it.unimi.dsi,fastutil,8.5.19,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,io.lacuna,bifurcan,0.2.0-rc1,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.apache.ant,ant,1.10.17,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.apache.ant,ant-launcher,1.10.17,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.jgrapht,jgrapht-core,1.5.3,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.jheaps,jheaps,0.14,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.apfloat,apfloat,1.14.0,false,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.jgrapht,jgrapht-opt,1.5.3,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,junit,junit,4.13.2,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,org.hamcrest,hamcrest,3.0,true,
Maven,exist-core/pom.xml,org.exist-db,exist-core,7.0.0-SNAPSHOT,com.github.mizosoft.methanol,methanol,1.9.0,true,
