Source path,Owner class FQN,Field name,Serialized name,Serialized name source,Type FQN,Type resolution,Is collection,Is map,Is optional,Format,Required,Validations JSON,Example value
exist-core/src/main/java/org/exist/http/jaxb/Query.java,org.exist.http.jaxb.Query,method,method,java-name,java.lang.String,resolved,false,false,false,,false,{},
exist-core/src/main/java/org/exist/http/jaxb/Query.java,org.exist.http.jaxb.Query,typed,typed,java-name,org.exist.http.jaxb.YesNo,resolved,false,false,false,,false,{},
exist-core/src/main/java/org/exist/http/jaxb/Query.java,org.exist.http.jaxb.Query,mime,mime,java-name,java.lang.String,resolved,false,false,false,,false,{},
exist-core/src/main/java/org/exist/http/jaxb/Query.java,org.exist.http.jaxb.Query,cache,cache,java-name,org.exist.http.jaxb.YesNo,resolved,false,false,false,,false,{},
exist-core/src/main/java/org/exist/http/jaxb/Query.java,org.exist.http.jaxb.Query,session,session,java-name,java.lang.String,resolved,false,false,false,,false,{},
exist-core/src/main/java/org/exist/http/Response.java,org.exist.http.Response,code,code,java-name,int,resolved,false,false,false,int32,true,{},
exist-core/src/main/java/org/exist/http/Response.java,org.exist.http.Response,statusDesc,statusDesc,java-name,java.lang.String,resolved,false,false,false,,false,{},
exist-core/src/main/java/org/exist/http/Response.java,org.exist.http.Response,content,content,java-name,java.lang.String,resolved,false,false,false,,false,{},
exist-core/src/main/java/org/exist/http/Response.java,org.exist.http.Response,binaryContent,binaryContent,java-name,byte,resolved,true,false,false,,false,{},
exist-core/src/main/java/org/exist/http/Response.java,org.exist.http.Response,encoding,encoding,java-name,java.lang.String,resolved,false,false,false,,false,{},
exist-core/src/main/java/org/exist/http/Response.java,org.exist.http.Response,contentType,contentType,java-name,java.lang.String,resolved,false,false,false,,false,{},
exist-core/src/main/java/org/exist/storage/btree/IndexQuery.java,org.exist.storage.btree.IndexQuery,op,op,java-name,int,resolved,false,false,false,int32,true,{},
exist-core/src/main/java/org/exist/storage/btree/IndexQuery.java,org.exist.storage.btree.IndexQuery,vals,vals,java-name,org.exist.storage.btree.Value,resolved,true,false,false,,false,{},
exist-core/src/main/java/org/exist/stax/EmbeddedXMLStreamReader.java,org.exist.stax.EmbeddedXMLStreamReader$ElementEvent,data,data,java-name,org.exist.storage.btree.Value,resolved,false,false,false,,false,{},
exist-core/src/main/java/org/exist/stax/EmbeddedXMLStreamReader.java,org.exist.stax.EmbeddedXMLStreamReader$ElementEvent,childCount,childCount,java-name,int,resolved,false,false,false,int32,true,{},
exist-core/src/main/java/org/exist/stax/EmbeddedXMLStreamReader.java,org.exist.stax.EmbeddedXMLStreamReader$ElementEvent,currentChild,currentChild,java-name,int,resolved,false,false,false,int32,true,{},
exist-core/src/main/java/org/exist/test/runner/XMLTestRunner.java,org.exist.test.runner.XMLTestRunner$XMLTestInfo,name,name,java-name,java.lang.String,resolved,false,false,false,,false,{},
exist-core/src/main/java/org/exist/test/runner/XMLTestRunner.java,org.exist.test.runner.XMLTestRunner$XMLTestInfo,description,description,java-name,java.lang.String,resolved,false,false,false,,false,{},
exist-core/src/main/java/org/exist/test/runner/XMLTestRunner.java,org.exist.test.runner.XMLTestRunner$XMLTestInfo,childNames,childNames,java-name,java.lang.String,resolved,true,false,false,,false,{},
exist-core/src/main/java/org/exist/test/runner/XQueryTestRunner.java,org.exist.test.runner.XQueryTestRunner$XQueryTestInfo,prefix,prefix,java-name,java.lang.String,resolved,false,false,false,,false,{},
exist-core/src/main/java/org/exist/test/runner/XQueryTestRunner.java,org.exist.test.runner.XQueryTestRunner$XQueryTestInfo,namespace,namespace,java-name,java.lang.String,resolved,false,false,false,,false,{},
exist-core/src/main/java/org/exist/test/runner/XQueryTestRunner.java,org.exist.test.runner.XQueryTestRunner$XQueryTestInfo,testFunctions,testFunctions,java-name,org.exist.test.runner.XQueryTestRunner$XQueryTestInfo$TestFunctionDef,resolved,true,false,false,,false,{},
exist-core/src/main/java/org/exist/test/runner/XQueryTestRunner.java,org.exist.test.runner.XQueryTestRunner$XQueryTestInfo$TestFunctionDef,localName,localName,java-name,java.lang.String,resolved,false,false,false,,false,{},
exist-core/src/main/java/org/exist/test/runner/XQueryTestRunner.java,org.exist.test.runner.XQueryTestRunner$XQueryTestInfo$TestFunctionDef,arity,arity,java-name,int,resolved,false,false,false,int32,true,{},
exist-core/src/test/java/org/exist/stax/EmbeddedXMLStreamReaderTest.java,org.exist.stax.EmbeddedXMLStreamReaderTest$NamedEvent,event,event,java-name,int,resolved,false,false,false,int32,true,{},
extensions/indexes/lucene/src/main/java/org/exist/xquery/modules/lucene/QueryOptions.java,org.exist.xquery.modules.lucene.QueryOptions$FacetQuery,values,values,java-name,java.lang.String,resolved,true,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/xquery/modules/lucene/Query.java,org.exist.xquery.modules.lucene.Query,contextStep,contextStep,java-name,org.exist.xquery.LocationStep,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/xquery/modules/lucene/Query.java,org.exist.xquery.modules.lucene.Query,contextQNames,contextQNames,java-name,org.exist.dom.QName,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/xquery/modules/lucene/Query.java,org.exist.xquery.modules.lucene.Query,axis,axis,java-name,int,resolved,false,false,false,int32,true,{},
extensions/indexes/lucene/src/main/java/org/exist/xquery/modules/lucene/Query.java,org.exist.xquery.modules.lucene.Query,preselectResult,preselectResult,java-name,org.exist.dom.persistent.NodeSet,resolved,false,false,false,,false,{},
extensions/indexes/lucene/src/main/java/org/exist/xquery/modules/lucene/Query.java,org.exist.xquery.modules.lucene.Query,optimizeSelf,optimizeSelf,java-name,boolean,resolved,false,false,false,,true,{},
extensions/indexes/lucene/src/main/java/org/exist/xquery/modules/lucene/Query.java,org.exist.xquery.modules.lucene.Query,optimizeChild,optimizeChild,java-name,boolean,resolved,false,false,false,,true,{},
extensions/indexes/lucene/src/main/java/org/exist/indexing/lucene/LuceneIndexConfig.java,org.exist.indexing.lucene.LuceneIndexConfig$MatchAttrData,qname,qname,java-name,java.lang.String,resolved,false,false,false,,false,{},
