Package name,Afferent coupling (Ca),Efferent coupling (Ce),Instability,Abstractness,Distance from main sequence,In cycle,Cycle members
xquery.modules.xmldiff,0,0,0.0,0.0,1.0,false,
org.exist.xquery.functions.securitymanager,0,16,1.0,0.0,0.0,false,
org.exist.xquery.functions.xmldb,2,25,0.9259259259259259,0.06451612903225806,0.009557945041815952,true,"org.exist,org.exist.backup,org.exist.backup.restore,org.exist.client,org.exist.client.security,org.exist.collections,org.exist.collections.triggers,org.exist.config,org.exist.config.mapper,org.exist.debuggee,org.exist.debugger,org.exist.dom,org.exist.dom.memtree,org.exist.dom.persistent,org.exist.http,org.exist.http.servlets,org.exist.http.urlrewrite,org.exist.http.ws,org.exist.indexing,org.exist.jetty,org.exist.management,org.exist.management.client,org.exist.management.impl,org.exist.numbering,org.exist.protocolhandler.embedded,org.exist.protocolhandler.xmldb,org.exist.protocolhandler.xmlrpc,org.exist.repo,org.exist.resolver,org.exist.scheduler,org.exist.scheduler.impl,org.exist.security,org.exist.security.internal,org.exist.security.internal.aider,org.exist.security.internal.web,org.exist.security.management,org.exist.security.realm,org.exist.security.utils,org.exist.source,org.exist.stax,org.exist.storage,org.exist.storage.blob,org.exist.storage.btree,org.exist.storage.cache,org.exist.storage.dom,org.exist.storage.index,org.exist.storage.io,org.exist.storage.journal,org.exist.storage.lock,org.exist.storage.recovery,org.exist.storage.report,org.exist.storage.serializers,org.exist.storage.structural,org.exist.storage.sync,org.exist.storage.txn,org.exist.storage.vector,org.exist.test,org.exist.util,org.exist.util.crypto.digest,org.exist.util.hashtable,org.exist.util.io,org.exist.util.pool,org.exist.util.serializer,org.exist.util.serializer.json,org.exist.validation,org.exist.validation.internal,org.exist.validation.resolver,org.exist.vector,org.exist.xmldb,org.exist.xmldb.concurrent,org.exist.xmldb.concurrent.action,org.exist.xmldb.function,org.exist.xmldb.txn.bridge,org.exist.xmlrpc,org.exist.xmlrpc.function,org.exist.xqj,org.exist.xquery,org.exist.xquery.functions.array,org.exist.xquery.functions.fn,org.exist.xquery.functions.fn.transform,org.exist.xquery.functions.integer,org.exist.xquery.functions.map,org.exist.xquery.functions.math,org.exist.xquery.functions.request,org.exist.xquery.functions.websocket,org.exist.xquery.functions.xmldb,org.exist.xquery.pragmas,org.exist.xquery.regex,org.exist.xquery.update,org.exist.xquery.util,org.exist.xquery.value,org.exist.xslt,org.exist.xupdate"
org.exist.xquery.util,26,18,0.4090909090909091,0.10526315789473684,0.4856459330143541,true,"org.exist,org.exist.backup,org.exist.backup.restore,org.exist.client,org.exist.client.security,org.exist.collections,org.exist.collections.triggers,org.exist.config,org.exist.config.mapper,org.exist.debuggee,org.exist.debugger,org.exist.dom,org.exist.dom.memtree,org.exist.dom.persistent,org.exist.http,org.exist.http.servlets,org.exist.http.urlrewrite,org.exist.http.ws,org.exist.indexing,org.exist.jetty,org.exist.management,org.exist.management.client,org.exist.management.impl,org.exist.numbering,org.exist.protocolhandler.embedded,org.exist.protocolhandler.xmldb,org.exist.protocolhandler.xmlrpc,org.exist.repo,org.exist.resolver,org.exist.scheduler,org.exist.scheduler.impl,org.exist.security,org.exist.security.internal,org.exist.security.internal.aider,org.exist.security.internal.web,org.exist.security.management,org.exist.security.realm,org.exist.security.utils,org.exist.source,org.exist.stax,org.exist.storage,org.exist.storage.blob,org.exist.storage.btree,org.exist.storage.cache,org.exist.storage.dom,org.exist.storage.index,org.exist.storage.io,org.exist.storage.journal,org.exist.storage.lock,org.exist.storage.recovery,org.exist.storage.report,org.exist.storage.serializers,org.exist.storage.structural,org.exist.storage.sync,org.exist.storage.txn,org.exist.storage.vector,org.exist.test,org.exist.util,org.exist.util.crypto.digest,org.exist.util.hashtable,org.exist.util.io,org.exist.util.pool,org.exist.util.serializer,org.exist.util.serializer.json,org.exist.validation,org.exist.validation.internal,org.exist.validation.resolver,org.exist.vector,org.exist.xmldb,org.exist.xmldb.concurrent,org.exist.xmldb.concurrent.action,org.exist.xmldb.function,org.exist.xmldb.txn.bridge,org.exist.xmlrpc,org.exist.xmlrpc.function,org.exist.xqj,org.exist.xquery,org.exist.xquery.functions.array,org.exist.xquery.functions.fn,org.exist.xquery.functions.fn.transform,org.exist.xquery.functions.integer,org.exist.xquery.functions.map,org.exist.xquery.functions.math,org.exist.xquery.functions.request,org.exist.xquery.functions.websocket,org.exist.xquery.functions.xmldb,org.exist.xquery.pragmas,org.exist.xquery.regex,org.exist.xquery.update,org.exist.xquery.util,org.exist.xquery.value,org.exist.xslt,org.exist.xupdate"
org.exist.client,3,15,0.8333333333333334,0.09090909090909091,0.07575757575757569,true,"org.exist,org.exist.backup,org.exist.backup.restore,org.exist.client,org.exist.client.security,org.exist.collections,org.exist.collections.triggers,org.exist.config,org.exist.config.mapper,org.exist.debuggee,org.exist.debugger,org.exist.dom,org.exist.dom.memtree,org.exist.dom.persistent,org.exist.http,org.exist.http.servlets,org.exist.http.urlrewrite,org.exist.http.ws,org.exist.indexing,org.exist.jetty,org.exist.management,org.exist.management.client,org.exist.management.impl,org.exist.numbering,org.exist.protocolhandler.embedded,org.exist.protocolhandler.xmldb,org.exist.protocolhandler.xmlrpc,org.exist.repo,org.exist.resolver,org.exist.scheduler,org.exist.scheduler.impl,org.exist.security,org.exist.security.internal,org.exist.security.internal.aider,org.exist.security.internal.web,org.exist.security.management,org.exist.security.realm,org.exist.security.utils,org.exist.source,org.exist.stax,org.exist.storage,org.exist.storage.blob,org.exist.storage.btree,org.exist.storage.cache,org.exist.storage.dom,org.exist.storage.index,org.exist.storage.io,org.exist.storage.journal,org.exist.storage.lock,org.exist.storage.recovery,org.exist.storage.report,org.exist.storage.serializers,org.exist.storage.structural,org.exist.storage.sync,org.exist.storage.txn,org.exist.storage.vector,org.exist.test,org.exist.util,org.exist.util.crypto.digest,org.exist.util.hashtable,org.exist.util.io,org.exist.util.pool,org.exist.util.serializer,org.exist.util.serializer.json,org.exist.validation,org.exist.validation.internal,org.exist.validation.resolver,org.exist.vector,org.exist.xmldb,org.exist.xmldb.concurrent,org.exist.xmldb.concurrent.action,org.exist.xmldb.function,org.exist.xmldb.txn.bridge,org.exist.xmlrpc,org.exist.xmlrpc.function,org.exist.xqj,org.exist.xquery,org.exist.xquery.functions.array,org.exist.xquery.functions.fn,org.exist.xquery.functions.fn.transform,org.exist.xquery.functions.integer,org.exist.xquery.functions.map,org.exist.xquery.functions.math,org.exist.xquery.functions.request,org.exist.xquery.functions.websocket,org.exist.xquery.functions.xmldb,org.exist.xquery.pragmas,org.exist.xquery.regex,org.exist.xquery.update,org.exist.xquery.util,org.exist.xquery.value,org.exist.xslt,org.exist.xupdate"
org.exist.storage.sync,6,4,0.4,0.0,0.6,true,"org.exist,org.exist.backup,org.exist.backup.restore,org.exist.client,org.exist.client.security,org.exist.collections,org.exist.collections.triggers,org.exist.config,org.exist.config.mapper,org.exist.debuggee,org.exist.debugger,org.exist.dom,org.exist.dom.memtree,org.exist.dom.persistent,org.exist.http,org.exist.http.servlets,org.exist.http.urlrewrite,org.exist.http.ws,org.exist.indexing,org.exist.jetty,org.exist.management,org.exist.management.client,org.exist.management.impl,org.exist.numbering,org.exist.protocolhandler.embedded,org.exist.protocolhandler.xmldb,org.exist.protocolhandler.xmlrpc,org.exist.repo,org.exist.resolver,org.exist.scheduler,org.exist.scheduler.impl,org.exist.security,org.exist.security.internal,org.exist.security.internal.aider,org.exist.security.internal.web,org.exist.security.management,org.exist.security.realm,org.exist.security.utils,org.exist.source,org.exist.stax,org.exist.storage,org.exist.storage.blob,org.exist.storage.btree,org.exist.storage.cache,org.exist.storage.dom,org.exist.storage.index,org.exist.storage.io,org.exist.storage.journal,org.exist.storage.lock,org.exist.storage.recovery,org.exist.storage.report,org.exist.storage.serializers,org.exist.storage.structural,org.exist.storage.sync,org.exist.storage.txn,org.exist.storage.vector,org.exist.test,org.exist.util,org.exist.util.crypto.digest,org.exist.util.hashtable,org.exist.util.io,org.exist.util.pool,org.exist.util.serializer,org.exist.util.serializer.json,org.exist.validation,org.exist.validation.internal,org.exist.validation.resolver,org.exist.vector,org.exist.xmldb,org.exist.xmldb.concurrent,org.exist.xmldb.concurrent.action,org.exist.xmldb.function,org.exist.xmldb.txn.bridge,org.exist.xmlrpc,org.exist.xmlrpc.function,org.exist.xqj,org.exist.xquery,org.exist.xquery.functions.array,org.exist.xquery.functions.fn,org.exist.xquery.functions.fn.transform,org.exist.xquery.functions.integer,org.exist.xquery.functions.map,org.exist.xquery.functions.math,org.exist.xquery.functions.request,org.exist.xquery.functions.websocket,org.exist.xquery.functions.xmldb,org.exist.xquery.pragmas,org.exist.xquery.regex,org.exist.xquery.update,org.exist.xquery.util,org.exist.xquery.value,org.exist.xslt,org.exist.xupdate"
org.exist.protocolhandler,1,3,0.75,0.0,0.25,true,"org.exist.protocolhandler,org.exist.protocolhandler.protocols.xmldb"
xquery.modules.expathrepo,0,0,0.0,0.0,1.0,false,
xquery.securitymanager,0,0,0.0,0.0,1.0,false,
org.exist.xslt,6,11,0.6470588235294118,0.16666666666666666,0.18627450980392157,true,"org.exist,org.exist.backup,org.exist.backup.restore,org.exist.client,org.exist.client.security,org.exist.collections,org.exist.collections.triggers,org.exist.config,org.exist.config.mapper,org.exist.debuggee,org.exist.debugger,org.exist.dom,org.exist.dom.memtree,org.exist.dom.persistent,org.exist.http,org.exist.http.servlets,org.exist.http.urlrewrite,org.exist.http.ws,org.exist.indexing,org.exist.jetty,org.exist.management,org.exist.management.client,org.exist.management.impl,org.exist.numbering,org.exist.protocolhandler.embedded,org.exist.protocolhandler.xmldb,org.exist.protocolhandler.xmlrpc,org.exist.repo,org.exist.resolver,org.exist.scheduler,org.exist.scheduler.impl,org.exist.security,org.exist.security.internal,org.exist.security.internal.aider,org.exist.security.internal.web,org.exist.security.management,org.exist.security.realm,org.exist.security.utils,org.exist.source,org.exist.stax,org.exist.storage,org.exist.storage.blob,org.exist.storage.btree,org.exist.storage.cache,org.exist.storage.dom,org.exist.storage.index,org.exist.storage.io,org.exist.storage.journal,org.exist.storage.lock,org.exist.storage.recovery,org.exist.storage.report,org.exist.storage.serializers,org.exist.storage.structural,org.exist.storage.sync,org.exist.storage.txn,org.exist.storage.vector,org.exist.test,org.exist.util,org.exist.util.crypto.digest,org.exist.util.hashtable,org.exist.util.io,org.exist.util.pool,org.exist.util.serializer,org.exist.util.serializer.json,org.exist.validation,org.exist.validation.internal,org.exist.validation.resolver,org.exist.vector,org.exist.xmldb,org.exist.xmldb.concurrent,org.exist.xmldb.concurrent.action,org.exist.xmldb.function,org.exist.xmldb.txn.bridge,org.exist.xmlrpc,org.exist.xmlrpc.function,org.exist.xqj,org.exist.xquery,org.exist.xquery.functions.array,org.exist.xquery.functions.fn,org.exist.xquery.functions.fn.transform,org.exist.xquery.functions.integer,org.exist.xquery.functions.map,org.exist.xquery.functions.math,org.exist.xquery.functions.request,org.exist.xquery.functions.websocket,org.exist.xquery.functions.xmldb,org.exist.xquery.pragmas,org.exist.xquery.regex,org.exist.xquery.update,org.exist.xquery.util,org.exist.xquery.value,org.exist.xslt,org.exist.xupdate"
