Entity ID,Source path,Service class,Method name,HTTP method,Path,Produces,Consumes,Framework,Method signature
endpoint:org.exist.http.ws.EvalWebSocketEndpoint#WS:/ws/eval,exist-core/src/main/java/org/exist/http/ws/EvalWebSocketEndpoint.java,org.exist.http.ws.EvalWebSocketEndpoint,EvalWebSocketEndpoint,WEBSOCKET,/ws/eval,,,Jakarta WebSocket,org.exist.http.ws.EvalWebSocketEndpoint
endpoint:org.exist.http.ws.EvalWebSocketEndpoint#WS:onMessage,exist-core/src/main/java/org/exist/http/ws/EvalWebSocketEndpoint.java,org.exist.http.ws.EvalWebSocketEndpoint,onMessage,WEBSOCKET,onMessage,,,Jakarta WebSocket,"org.exist.http.ws.EvalWebSocketEndpoint{name=onMessage,return=void,parameters=[java.lang.String,jakarta.websocket.Session]}"
endpoint:org.exist.xquery.functions.websocket.WebSocketEndpoint#WS:/ws,exist-core/src/main/java/org/exist/xquery/functions/websocket/WebSocketEndpoint.java,org.exist.xquery.functions.websocket.WebSocketEndpoint,WebSocketEndpoint,WEBSOCKET,/ws,,,Jakarta WebSocket,org.exist.xquery.functions.websocket.WebSocketEndpoint
endpoint:org.exist.xquery.functions.websocket.WebSocketEndpoint#WS:/ws,exist-core/src/main/java/org/exist/xquery/functions/websocket/WebSocketEndpoint.java,org.exist.xquery.functions.websocket.WebSocketEndpoint,recv,WEBSOCKET,/ws,,,Jakarta WebSocket,"org.exist.xquery.functions.websocket.WebSocketEndpoint{name=recv,return=void,parameters=[java.lang.String,jakarta.websocket.Session]}"
