Source path,Class name,Method name,Pattern type,Exception types,Handling strategy,Logging framework,Log level
exist-core/src/main/java/org/exist/xquery/functions/fn/FnInnerMost.java,org.exist.xquery.functions.fn.FnInnerMost,getNodeIds,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FnFormatIntegers.java,org.exist.xquery.functions.fn.FnFormatIntegers,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunTokenize.java,org.exist.xquery.functions.fn.FunTokenize,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunTokenize.java,org.exist.xquery.functions.fn.FunTokenize,eval,try-catch,PatternSyntaxException,wrap,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FnFormatNumbers.java,org.exist.xquery.functions.fn.FnFormatNumbers,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FnFormatNumbers.java,org.exist.xquery.functions.fn.FnFormatNumbers,eval,try-catch,QName.IllegalQNameException,wrap,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FnFormatNumbers.java,org.exist.xquery.functions.fn.FnFormatNumbers$AnalyzeState,analyzePictureString,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FnFormatNumbers.java,org.exist.xquery.functions.fn.FnFormatNumbers$AnalyzeState,analyzePassiveChar,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FnFormatNumbers.java,org.exist.xquery.functions.fn.FnFormatNumbers$AnalyzeState,format,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/functions/fn/FunCurrentDateTime.java,org.exist.xquery.functions.fn.FunCurrentDateTime,eval,throws-declaration,XPathException,propagate,,
