Source path,Class name,Method name,Pattern type,Exception types,Handling strategy,Logging framework,Log level
exist-core/src/main/java/org/exist/debuggee/DebuggeeJoint.java,org.exist.debuggee.DebuggeeJoint,evalution,throws-declaration,Exception,propagate,,
exist-core/src/main/java/org/exist/SystemProperties.java,org.exist.SystemProperties,load,try-catch,IOException,log,Log4j,ERROR
exist-core/src/main/java/org/exist/xquery/LiteralValue.java,org.exist.xquery.LiteralValue,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/LiteralValue.java,org.exist.xquery.LiteralValue,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/SwitchExpression.java,org.exist.xquery.SwitchExpression$Case,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/SwitchExpression.java,org.exist.xquery.SwitchExpression$Case,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/PathExpr.java,org.exist.xquery.PathExpr,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/PathExpr.java,org.exist.xquery.PathExpr,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/PathExpr.java,org.exist.xquery.PathExpr,eval,try-catch,XPathException,rethrow,Log4j,
exist-core/src/main/java/org/exist/xquery/PathExpr.java,org.exist.xquery.PathExpr,getLiteralValue,try-catch,XPathException,ignore,Log4j,
exist-core/src/main/java/org/exist/xquery/VariableDeclaration.java,org.exist.xquery.VariableDeclaration,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/VariableDeclaration.java,org.exist.xquery.VariableDeclaration,analyzeExpression,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/VariableDeclaration.java,org.exist.xquery.VariableDeclaration,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/VariableDeclaration.java,org.exist.xquery.VariableDeclaration,remove,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/CommentConstructor.java,org.exist.xquery.CommentConstructor,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/CommentConstructor.java,org.exist.xquery.CommentConstructor,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/OrderByClause.java,org.exist.xquery.OrderByClause,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/OrderByClause.java,org.exist.xquery.OrderByClause,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/OrderByClause.java,org.exist.xquery.OrderByClause,postEval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/OpSimpleMap.java,org.exist.xquery.OpSimpleMap,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/OpSimpleMap.java,org.exist.xquery.OpSimpleMap,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/ArrowOperator.java,org.exist.xquery.ArrowOperator,ArrowOperator,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/ArrowOperator.java,org.exist.xquery.ArrowOperator,setArrowFunction,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/ArrowOperator.java,org.exist.xquery.ArrowOperator,setArrowFunction,try-catch,QName.IllegalQNameException,wrap,,
exist-core/src/main/java/org/exist/xquery/ArrowOperator.java,org.exist.xquery.ArrowOperator,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/ArrowOperator.java,org.exist.xquery.ArrowOperator,eval,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/ArrowOperator.java,org.exist.xquery.ArrowOperator$ContextParam,analyze,throws-declaration,XPathException,propagate,,
exist-core/src/main/java/org/exist/xquery/ArrowOperator.java,org.exist.xquery.ArrowOperator$ContextParam,eval,throws-declaration,XPathException,propagate,,
