Source path,Class name,QName local name,Dynamically invoked in tests,Matching test paths
extensions/modules/process/src/main/java/org/exist/xquery/modules/process/Execute.java,org.exist.xquery.modules.process.Execute,stdout,false,
extensions/modules/process/src/main/java/org/exist/xquery/modules/process/Execute.java,org.exist.xquery.modules.process.Execute,line,true,exist-core/src/test/xquery/arrays/arrays.xql; exist-core/src/test/xquery/function.xql; exist-core/src/test/xquery/system/as-user.xqm; exist-core/src/test/xquery/xquery3/arrowop.xql; exist-core/src/test/xquery/xquery3/fnRefs.xql; exist-core/src/test/xquery/xquery3/higher-order.xqm; extensions/indexes/lucene/src/test/xquery/lucene/field-expression-context.xqm; extensions/indexes/lucene/src/test/xquery/lucene/inline-elements.xql; extensions/indexes/lucene/src/test/xquery/lucene/util-expand-highlight.xqm; extensions/modules/file/src/test/xquery/modules/file/serialize.xqm; exist-core/src/test/java/org/exist/xquery/CleanupTest.java; exist-core/src/test/java/org/exist/xquery/functions/util/EvalTest.java
extensions/modules/scheduler/src/main/java/org/exist/xquery/modules/scheduler/ResumeScheduledJob.java,org.exist.xquery.modules.scheduler.ResumeScheduledJob,resume-scheduled-job,false,
extensions/modules/scheduler/src/main/java/org/exist/xquery/modules/scheduler/GetScheduledJobs.java,org.exist.xquery.modules.scheduler.GetScheduledJobs,get-scheduled-jobs,false,
extensions/modules/scheduler/src/main/java/org/exist/xquery/modules/scheduler/DeleteScheduledJob.java,org.exist.xquery.modules.scheduler.DeleteScheduledJob,delete-scheduled-job,false,
extensions/modules/scheduler/src/main/java/org/exist/xquery/modules/scheduler/PauseScheduledJob.java,org.exist.xquery.modules.scheduler.PauseScheduledJob,pause-scheduled-job,false,
extensions/modules/scheduler/src/main/java/org/exist/xquery/modules/scheduler/ScheduleFunctions.java,org.exist.xquery.modules.scheduler.ScheduleFunctions,schedule-java-cron-job,false,
extensions/modules/scheduler/src/main/java/org/exist/xquery/modules/scheduler/ScheduleFunctions.java,org.exist.xquery.modules.scheduler.ScheduleFunctions,schedule-java-periodic-job,false,
extensions/modules/scheduler/src/main/java/org/exist/xquery/modules/scheduler/ScheduleFunctions.java,org.exist.xquery.modules.scheduler.ScheduleFunctions,schedule-xquery-cron-job,false,
extensions/modules/scheduler/src/main/java/org/exist/xquery/modules/scheduler/ScheduleFunctions.java,org.exist.xquery.modules.scheduler.ScheduleFunctions,schedule-xquery-periodic-job,false,
extensions/modules/simpleql/src/main/java/org/exist/xquery/modules/simpleql/ParseSimpleQL.java,org.exist.xquery.modules.simpleql.ParseSimpleQL,parse-simpleql,false,
extensions/modules/sql-oracle/src/main/java/org/exist/xquery/modules/oracle/ExecuteFunction.java,org.exist.xquery.modules.oracle.ExecuteFunction,execute,true,extensions/modules/sql-oracle/src/main/resources/org/exist/xquery/modules/oracle/oracle-example.xql; exist-core/src/test/java/org/exist/xquery/StoredModuleTest.java; extensions/modules/sql/src/test/java/org/exist/xquery/modules/sql/ExecuteIT.java
extensions/modules/sql-oracle/src/main/java/org/exist/xquery/modules/oracle/ExecuteFunction.java,org.exist.xquery.modules.oracle.ExecuteFunction,result,true,exist-core/src/main/resources/org/exist/xquery/lib/xqsuite/xqsuite.xql; exist-core/src/test/xquery/maps/maps.xqm; exist-core/src/test/xquery/xquery3/transform/fnTransform66.xqm; exist-core/src/test/xquery/xquery3/transform/fnTransform74.xqm; exist-core/src/test/xquery/xquery3/transform/fnTransform79.xqm; exist-core/src/test/xquery/xquery3/transform/fnTransform87.xqm; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-field.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-query-forms.xqm; extensions/indexes/range/src/test/xquery/range/conditions.xql; extensions/modules/file/src/test/resources/util/helper.xqm; extensions/modules/file/src/test/xquery/modules/file/sync.xqm; extensions/modules/file/src/test/xquery/modules/file/syncmod.xqm; exist-core/src/test/java/org/exist/xquery/DeepEqualTest.java; exist-core/src/test/java/org/exist/xquery/functions/map/MapEntryRegressionTest.java
extensions/modules/sql-oracle/src/main/java/org/exist/xquery/modules/oracle/ExecuteFunction.java,org.exist.xquery.modules.oracle.ExecuteFunction,count,true,exist-core/src/main/resources/org/exist/xquery/lib/xqsuite/examples.xql; exist-core/src/main/resources/org/exist/xquery/lib/xqsuite/xqsuite.xql; exist-core/src/test/resources/org/exist/performance/log2html.xql; exist-core/src/test/xquery/arrays/arrays.xql; exist-core/src/test/xquery/axes.xql; exist-core/src/test/xquery/boolean-sequences.xq; exist-core/src/test/xquery/count.xql; exist-core/src/test/xquery/fn-not.xq; exist-core/src/test/xquery/fn.xql; exist-core/src/test/xquery/inspect/inspect.xql; exist-core/src/test/xquery/maps/maps.xqm; exist-core/src/test/xquery/namespaces.xql; exist-core/src/test/xquery/optimizer/positional.xqm; exist-core/src/test/xquery/order-by.xqm; exist-core/src/test/xquery/question-marks-in-contains-function.xql; exist-core/src/test/xquery/securitymanager/id.xqm; exist-core/src/test/xquery/simple-map-predicate.xq; exist-core/src/test/xquery/unparsed-text.xql; exist-core/src/test/xquery/util/eval-with-context.xql; exist-core/src/test/xquery/util/moduleDiscoveryTest.xql; exist-core/src/test/xquery/validation/jaxp.xql; exist-core/src/test/xquery/xmldb/permission-tests.xql; exist-core/src/test/xquery/xmlid.xql; exist-core/src/test/xquery/xqsuite/custom-assertion.xqm; exist-core/src/test/xquery/xquery3/arrowop.xql; exist-core/src/test/xquery/xquery3/bang.xql; exist-core/src/test/xquery/xquery3/computed-namespace-constructor.xql; exist-core/src/test/xquery/xquery3/concat.xql; exist-core/src/test/xquery/xquery3/copy-namespaces-no-inherit.xqm; exist-core/src/test/xquery/xquery3/copy-namespaces.xqm; exist-core/src/test/xquery/xquery3/filter-function-items-in-context.xql; exist-core/src/test/xquery/xquery3/flwor.xql; exist-core/src/test/xquery/xquery3/fnElementWithId.xqm; exist-core/src/test/xquery/xquery3/fnId.xqm; exist-core/src/test/xquery/xquery3/fnRefs.xql; exist-core/src/test/xquery/xquery3/fnSort.xql; exist-core/src/test/xquery/xquery3/groupby.xql; exist-core/src/test/xquery/xquery3/higher-order.xqm; exist-core/src/test/xquery/xquery3/parse-xml-fragment.xqm; exist-core/src/test/xquery/xquery3/parse-xml.xqm; exist-core/src/test/xquery/xquery3/strconstr.xql; exist-core/src/test/xquery/xquery3/transform/fnTransform63.xqm; extensions/indexes/indexes-integration-tests/src/test/xquery/indexing/tests/exist-matches.xqm; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-diacritics.xql; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-field.xqm; extensions/indexes/lucene/src/test/xquery/lucene/facet-drilldown-highlight.xqm; extensions/indexes/lucene/src/test/xquery/lucene/for-variable.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-edge.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-expand-highlight.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-facets.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-field-types.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-match.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-query-field.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-query-forms.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-search-binary.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ignore-condition.xql; extensions/indexes/lucene/src/test/xquery/lucene/index-keys.xql; extensions/indexes/lucene/src/test/xquery/lucene/inline-elements.xql; extensions/indexes/lucene/src/test/xquery/lucene/optimizer-ft.xql; extensions/indexes/lucene/src/test/xquery/lucene/parenthesized-context.xql; extensions/indexes/lucene/src/test/xquery/lucene/reindex-second-store.xqm; extensions/indexes/lucene/src/test/xquery/lucene/self-axis-index.xqm; extensions/indexes/lucene/src/test/xquery/lucene/unicode-supplementary-lucene.xql; extensions/indexes/lucene/src/test/xquery/lucene/util-expand-highlight.xqm; extensions/indexes/lucene/src/test/xquery/lucene/vector-embed.xqm; extensions/indexes/lucene/src/test/xquery/lucene/vector-search.xqm; extensions/indexes/ngram/src/test/xquery/ngram/for-variable.xql; extensions/indexes/ngram/src/test/xquery/ngram/match-highlighting-ngram.xql; extensions/indexes/ngram/src/test/xquery/ngram/unicode-supplementary-ngram.xql; extensions/indexes/range/src/test/xquery/range/conditions.xql; extensions/indexes/range/src/test/xquery/range/fields.xql; extensions/indexes/range/src/test/xquery/range/for-variable.xql; extensions/indexes/range/src/test/xquery/range/index-keys.xql; extensions/indexes/range/src/test/xquery/range/multi-collection-search.xqm; extensions/indexes/range/src/test/xquery/range/optimizer.xql; extensions/indexes/range/src/test/xquery/range/prefixed-conditions.xql; extensions/indexes/range/src/test/xquery/range/range.xql; extensions/indexes/range/src/test/xquery/range/unicode-supplementary-range.xql; extensions/indexes/range/src/test/xquery/range/updates.xql; extensions/modules/cache/src/test/xquery/modules/cache/cache.xqm; extensions/modules/file/src/test/resources/util/helper.xqm; extensions/debuggee/src/test/java/org/exist/debugger/DebuggerTest.java; exist-core/src/test/java/org/exist/xmldb/ResourceTest.java; exist-core/src/test/java/org/exist/xquery/AbstractDescendantOrSelfNodeKindTest.java; exist-core/src/test/java/org/exist/xquery/DocumentUpdateTest.java; exist-core/src/test/java/org/exist/xquery/OrderByClauseMemoryBenchmark.java; exist-core/src/test/java/org/exist/xquery/AbsolutePathTests.java; exist-core/src/test/java/org/exist/xquery/GeneralComparisonBenchmark.java; exist-core/src/test/java/org/exist/xquery/OptimizerTest.java; exist-core/src/test/java/org/exist/xquery/SelfAxisAttributeKindRegressionTest.java; exist-core/src/test/java/org/exist/xquery/OrderByClauseBenchmark.java; exist-core/src/test/java/org/exist/xquery/XQueryTest.java; exist-core/src/test/java/org/exist/xquery/AxisPerformanceRegressionTest.java; exist-core/src/test/java/org/exist/xquery/XPathQueryTest.java; exist-core/src/test/java/org/exist/xquery/DescendantOrSelfWithNonLocationStepTest.java; exist-core/src/test/java/org/exist/xquery/PathExprAtomicRhsTest.java; exist-core/src/test/java/org/exist/xquery/SelfAxisProcessingInstructionRegressionTest.java; exist-core/src/test/java/org/exist/xquery/UnionStepDistributionOptimizerTest.java; exist-core/src/test/java/org/exist/xquery/functions/validate/NativeSchemaJaxpCatalogGapTest.java; exist-core/src/test/java/org/exist/xquery/functions/util/EvalTest.java; exist-core/src/test/java/org/exist/xquery/functions/system/GetRunningXQueriesTest.java; exist-core/src/test/java/org/exist/xquery/functions/securitymanager/AccountManagementFunctionRemoveAccountTest.java; exist-core/src/test/java/org/exist/xquery/functions/request/GetUploadedFileHeadersTest.java; exist-core/src/test/java/org/exist/xquery/functions/fn/FunIndexOfPerformanceTest.java; exist-core/src/test/java/org/exist/xquery/functions/fn/FunSubSequenceTest.java; exist-core/src/test/java/org/exist/xquery/functions/transform/TransformTest.java; exist-core/src/test/java/org/exist/xquery/RootNodeContextItemDependencyTest.java; exist-core/src/test/java/org/exist/xquery/XQueryUpdateTest.java; exist-core/src/test/java/org/exist/xquery/PathExprDedupTest.java; exist-core/src/test/java/org/exist/security/RestApiSecurityTest.java; exist-core/src/test/java/org/exist/security/XqueryApiTest.java; exist-core/src/test/java/org/exist/storage/RenameTest.java; exist-core/src/test/java/org/exist/storage/ReplaceTest.java; exist-core/src/test/java/org/exist/storage/AppendTest.java; exist-core/src/test/java/org/exist/storage/RemoveTest.java; exist-core/src/test/java/org/exist/storage/UpdateRecoverTest.java; exist-core/src/test/java/org/exist/storage/UpdateTest.java; exist-core/src/test/java/org/exist/storage/UpdateAttributeTest.java; exist-core/src/test/java/org/exist/dom/memtree/MemtreeInXQueryTest.java; extensions/indexes/lucene/src/test/java/xquery/lucene/VectorSearchEmbeddingTest.java; extensions/indexes/lucene/src/test/java/org/exist/indexing/lucene/LuceneMatchListenerTest.java; extensions/indexes/ngram/src/test/java/org/exist/indexing/ngram/NGramContainsBenchmark.java; extensions/indexes/ngram/src/test/java/org/exist/indexing/ngram/MatchListenerTest.java; extensions/indexes/range/src/test/java/org/exist/xquery/modules/range/AttributeEqIndexConsistencyTest.java; extensions/indexes/vector-it/src/test/java/xquery/lucene/VectorSearchEmbeddingIT.java; extensions/modules/file/src/test/java/org/exist/xquery/modules/file/AbstractBinariesTest.java; extensions/modules/http-client/src/test/java/org/exist/xquery/modules/httpclient/SendRequestFunctionTest.java
extensions/modules/sql-oracle/src/main/java/org/exist/xquery/modules/oracle/ExecuteFunction.java,org.exist.xquery.modules.oracle.ExecuteFunction,row,true,exist-core/src/test/xquery/xquery3/arrowop.xql
extensions/modules/sql-oracle/src/main/java/org/exist/xquery/modules/oracle/ExecuteFunction.java,org.exist.xquery.modules.oracle.ExecuteFunction,index,true,exist-core/src/test/xquery/arrays/arrays.xql; exist-core/src/test/xquery/xmldb/reindex-tests.xql; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-diacritics.xql; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-english.xql; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-field.xqm; extensions/indexes/lucene/src/test/xquery/lucene/facet-drilldown-highlight.xqm; extensions/indexes/lucene/src/test/xquery/lucene/field-expression-context.xqm; extensions/indexes/lucene/src/test/xquery/lucene/for-variable.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-attr-context.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-edge.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-facets.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-field-types.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-match.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-query-field.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-query-forms.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-search-binary.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ignore-condition.xql; extensions/indexes/lucene/src/test/xquery/lucene/index-keys.xql; extensions/indexes/lucene/src/test/xquery/lucene/indirect-queries.xql; extensions/indexes/lucene/src/test/xquery/lucene/inline-ignore.xql; extensions/indexes/lucene/src/test/xquery/lucene/match-highlighting.xql; extensions/indexes/lucene/src/test/xquery/lucene/optimizer-ft.xql; extensions/indexes/lucene/src/test/xquery/lucene/parenthesized-context.xql; extensions/indexes/lucene/src/test/xquery/lucene/parenthesized-location-step.xql; extensions/indexes/lucene/src/test/xquery/lucene/reindex-second-store.xqm; extensions/indexes/lucene/src/test/xquery/lucene/self-axis-index.xqm; extensions/indexes/lucene/src/test/xquery/lucene/start-offset.xql; extensions/indexes/lucene/src/test/xquery/lucene/unicode-supplementary-lucene.xql; extensions/indexes/lucene/src/test/xquery/lucene/util-expand-highlight.xqm; extensions/indexes/lucene/src/test/xquery/lucene/vector-search.xqm; extensions/indexes/ngram/src/test/xquery/ngram/for-variable.xql; extensions/indexes/ngram/src/test/xquery/ngram/match-highlighting-ngram.xql; extensions/indexes/ngram/src/test/xquery/ngram/unicode-supplementary-ngram.xql; extensions/indexes/range/src/test/xquery/range/conditions.xql; extensions/indexes/range/src/test/xquery/range/field-type.xql; extensions/indexes/range/src/test/xquery/range/fields.xql; extensions/indexes/range/src/test/xquery/range/for-variable.xql; extensions/indexes/range/src/test/xquery/range/index-keys.xql; extensions/indexes/range/src/test/xquery/range/multi-collection-search.xqm; extensions/indexes/range/src/test/xquery/range/optimizer.xql; extensions/indexes/range/src/test/xquery/range/range.xql; extensions/indexes/range/src/test/xquery/range/types.xql; extensions/indexes/range/src/test/xquery/range/unicode-supplementary-range.xql; extensions/indexes/range/src/test/xquery/range/updates.xql; extensions/modules/file/src/test/resources/util/helper.xqm; exist-core/src/test/java/org/exist/xquery/StoredModuleTest.java; extensions/indexes/lucene/src/test/java/xquery/lucene/VectorSearchEmbeddingTest.java; extensions/indexes/lucene/src/test/java/org/exist/indexing/lucene/FacetPollutionJavaReproducerTest.java; extensions/indexes/vector-it/src/test/java/xquery/lucene/VectorSearchEmbeddingIT.java
extensions/modules/sql-oracle/src/main/java/org/exist/xquery/modules/oracle/ExecuteFunction.java,org.exist.xquery.modules.oracle.ExecuteFunction,field,true,extensions/indexes/lucene/src/test/xquery/lucene/analyzers-field.xqm; extensions/indexes/lucene/src/test/xquery/lucene/for-variable.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-edge.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-facets.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-field-types.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-match.xql; extensions/indexes/lucene/src/test/xquery/lucene/ft-query-field.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-query-forms.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-search-binary.xqm; extensions/indexes/lucene/src/test/xquery/lucene/self-axis-index.xqm; extensions/indexes/lucene/src/test/xquery/lucene/util-expand-highlight.xqm; extensions/indexes/lucene/src/test/xquery/lucene/vector-search.xqm; extensions/indexes/range/src/test/xquery/range/conditions.xql; extensions/indexes/range/src/test/xquery/range/index-keys.xql; extensions/indexes/range/src/test/xquery/range/optimizer.xql; extensions/indexes/range/src/test/xquery/range/prefixed-conditions.xql; extensions/indexes/range/src/test/xquery/range/range.xql; extensions/indexes/range/src/test/xquery/range/types.xql; extensions/indexes/lucene/src/test/java/org/exist/indexing/lucene/LuceneIndexTest.java; extensions/indexes/range/src/test/java/org/exist/xquery/modules/range/Issue4074IndexKeysServletContextTest.java
extensions/modules/sql-oracle/src/main/java/org/exist/xquery/modules/oracle/ExecuteFunction.java,org.exist.xquery.modules.oracle.ExecuteFunction,name,true,exist-core/src/main/resources/org/exist/test/runner/xquery-discovery.xq; exist-core/src/main/resources/org/exist/xquery/lib/kwic.xql; exist-core/src/main/resources/org/exist/xquery/lib/xqsuite/xqsuite.xql; exist-core/src/test/resources/org/exist/test/runner/failing-both.xqm; exist-core/src/test/xquery/arrays/arrays.xql; exist-core/src/test/xquery/axes.xql; exist-core/src/test/xquery/document-nodes.xq; exist-core/src/test/xquery/exceptOperator.xql; exist-core/src/test/xquery/maps/mapKeySameKey.xqm; exist-core/src/test/xquery/maps/maps.xqm; exist-core/src/test/xquery/namespaces.xql; exist-core/src/test/xquery/no-static-typing.xqm; exist-core/src/test/xquery/optimizer/expressions.xqm; exist-core/src/test/xquery/preceding-axis.xql; exist-core/src/test/xquery/simple-map-predicate.xq; exist-core/src/test/xquery/types.xql; exist-core/src/test/xquery/unicode.xqm; exist-core/src/test/xquery/util/document-id.xqm; exist-core/src/test/xquery/util/expand.xqm; exist-core/src/test/xquery/xmldb/copy-tests.xql; exist-core/src/test/xquery/xmldb/permission-tests.xql; exist-core/src/test/xquery/xqsuite/xqsuite-tests.xql; exist-core/src/test/xquery/xquery3/arrowop.xql; exist-core/src/test/xquery/xquery3/bang.xql; exist-core/src/test/xquery/xquery3/flwor.xql; exist-core/src/test/xquery/xquery3/fn.xql; exist-core/src/test/xquery/xquery3/fnElementWithId.xqm; exist-core/src/test/xquery/xquery3/fnId.xqm; exist-core/src/test/xquery/xquery3/fnSort.xql; exist-core/src/test/xquery/xquery3/higher-order.xqm; exist-core/src/test/xquery/xquery3/load-xquery-module.xql; exist-core/src/test/xquery/xquery3/serialize.xql; exist-core/src/test/xquery/xquery3/transform/fnTransform82e.xqm; exist-core/src/test/xquery/xquery3/transform/fnTransformParams.xqm; exist-jetty-config/src/main/resources/webapp/controller.xql; extensions/indexes/lucene/src/test/xquery/lucene/analyzers-field.xqm; extensions/indexes/lucene/src/test/xquery/lucene/field-expression-context.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-edge.xqm; extensions/indexes/lucene/src/test/xquery/lucene/ft-query-forms.xqm; extensions/indexes/range/src/test/xquery/range/multi-collection-search.xqm; extensions/indexes/range/src/test/xquery/range/optimizer.xql; extensions/indexes/range/src/test/xquery/range/range.xql; extensions/modules/expathrepo/src/test/xquery/modules/expathrepo/deployment.xql; extensions/modules/http-client/src/test/xquery/http-client-tests.xql; extensions/modules/jndi/jndiExample.xql; exist-core/src/test/java/org/exist/xquery/AbstractDescendantOrSelfNodeKindTest.java; exist-core/src/test/java/org/exist/xquery/FollowingAxisPositionRegressionTest.java; exist-core/src/test/java/org/exist/xquery/IntersectElementReturnTypeTest.java; exist-core/src/test/java/org/exist/xquery/CompAttrConstructorErrorCodeTest.java; exist-core/src/test/java/org/exist/xquery/XQueryTest.java; exist-core/src/test/java/org/exist/xquery/XPathQueryTest.java; exist-core/src/test/java/org/exist/xquery/ContextDependencyRegressionTest.java; exist-core/src/test/java/org/exist/xquery/XQueryFunctionsTest.java; exist-core/src/test/java/org/exist/xquery/functions/request/GetUploadedFileHeadersTest.java; exist-core/src/test/java/org/exist/xquery/functions/transform/TransformTest.java; exist-core/src/test/java/org/exist/IndexerTest.java; exist-core/src/test/java/org/exist/xupdate/StressTest.java; exist-core/src/test/java/org/exist/http/urlrewrite/UrlRewritePipelineHttpTest.java; exist-core/src/test/java/org/exist/dom/persistent/BasicNodeSetTest.java; exist-core/src/test/java/org/exist/collections/ConcurrencyTest.java; extensions/indexes/lucene/src/test/java/org/exist/indexing/lucene/LuceneIndexTest.java; extensions/modules/http-client/src/test/java/org/exist/xquery/modules/httpclient/SendRequestFunctionTest.java
